Title,TomatometerScore,AudienceScore,Rating,Genre,Director,R. Date (Theaters),R. Date (Streaming),Runtime
Infamous,21.0,50.0,NR,mysteryandthriller,JoshuaCaldwell,2020-06-12,2020-06-12,100.0
Hammer,79.0,76.0,NR,crime,ChristianSparkes,,2020-06-04,82.0
Becky,72.0,57.0,R,mysteryandthriller,"JonathanMilott,CaryMurnion",2020-06-05,2020-06-05,93.0
The Departure,50.0,,NR,drama,MerlandHoxha,2020-06-12,2020-06-12,71.0
The Soul Collector,73.0,88.0,NR,horror,HaroldHolscher,,2020-06-04,100.0
Never Be Done: The Richard Glen Lett Story,100.0,98.0,NR,biography,RoyTighe,,2020-06-15,80.0
The Pollinators,75.0,,NR,documentary,PeterNelson,,2020-06-14,92.0
RAD,40.0,90.0,PG,adventure,HalNeedham,,2017-03-13,91.0
The Price Of Desire,25.0,,NR,drama,MaryMcGuckian,,2020-05-29,108.0
Scoob!,48.0,55.0,PG,adventure,TonyCervone,,2020-05-15,94.0
Midnight Family,97.0,82.0,NR,action,LukeLorentzen,2019-12-06,2020-03-03,81.0
The Infiltrators,87.0,,NR,drama,"CristinaIbarra,AlexRivera",,2020-05-29,95.0
Premature,92.0,68.0,R,drama,RashaadErnestoGreen,2020-02-21,2020-02-27,86.0
Diana Kennedy: Nothing Fancy,100.0,,NR,documentary,ElizabethCarroll,2020-05-22,2020-06-22,73.0
Olympic Dreams,70.0,58.0,PG-13,romance,JeremyTeicher,2020-02-14,2020-02-10,83.0
Feral,100.0,,NR,drama,AndrewWonder,2020-06-20,2020-06-02,74.0
Lucky Grandma,94.0,65.0,NR,drama,SasieSealy,2020-05-22,2020-08-02,100.0
And Then We Danced,93.0,95.0,NR,drama,LevanAkin,2020-02-07,2020-05-29,105.0
End Of Sentence,92.0,94.0,NR,drama,ElfarAdalsteins,2020-05-29,2020-05-27,96.0
